SEARCH_DATE,HOTEL_ID,CHECK_IN_DATE,ELIGIBLE_IMPRESSIONS,IMPRESSIONS,TRANSITION_PAGE_OPENS,BOOKING_FORM_OPENS,BOOKINGS
2019-07-05,139402,2019-07-06,365,288,68,13,1
2019-07-16,139402,2019-07-17,217,197,32,6,1
2019-08-30,163141,2019-08-30,566,215,44,7,1
2019-07-06,106392,2019-07-06,334,169,47,8,1
2019-07-06,139402,2019-07-06,843,496,118,16,1
2019-07-06,116938,2019-07-06,241,153,35,7,1
2019-07-18,118583,2019-07-18,2188,251,60,10,1
2019-07-06,136892,2019-07-06,511,487,114,11,1
2019-08-31,1056306,2019-09-01,549,356,99,15,1
2019-08-09,209844,2019-08-09,244,177,35,7,1
2019-08-24,108540,2019-09-01,2905,323,92,13,1
2019-08-28,139402,2019-08-28,683,143,33,7,1
2019-07-09,139402,2019-07-09,443,173,40,7,1
2019-07-27,193208,2019-07-27,350,243,54,7,1
2019-07-06,135542,2019-07-06,1407,294,62,8,1
2019-08-30,122695,2019-08-31,356,249,73,6,1
2019-07-16,139402,2019-07-26,336,326,87,7,1
2019-09-13,164837,2019-09-13,400,193,47,8,1
2019-08-10,109281,2019-08-10,1094,170,33,6,1
2019-07-15,139402,2019-07-19,349,314,52,10,1
2019-08-31,112915,2019-08-31,615,593,127,11,1
2019-09-14,122212,2019-09-14,1141,259,50,7,1
2019-08-26,139402,2019-08-26,761,148,39,8,1
2019-07-16,139402,2019-07-27,115,114,31,6,1
2019-08-16,108540,2019-08-16,1499,234,45,8,1
2019-07-31,115100,2019-07-31,473,500,91,14,1
2019-07-17,118583,2019-07-17,2118,187,53,9,1
2019-09-13,135542,2019-09-13,1037,330,77,12,1
2019-08-30,209599,2019-08-30,457,466,102,6,1
2019-07-03,135542,2019-07-04,817,488,128,24,1
2019-07-08,139402,2019-07-08,760,715,129,19,1
2019-08-10,118583,2019-08-10,1698,228,58,9,1
2019-07-01,139402,2019-07-01,1073,376,67,11,1
2019-07-13,112915,2019-07-13,1114,735,125,14,1
2019-09-01,147594,2019-09-01,966,247,67,10,1
2019-08-07,135542,2019-08-09,2437,254,75,12,1
2019-07-19,193208,2019-07-19,291,289,84,9,1
2019-09-13,311298,2019-09-13,581,187,55,11,1
2019-07-04,122212,2019-07-05,647,342,77,10,1
2019-07-20,133309,2019-07-20,368,329,73,11,1
2019-08-30,118583,2019-09-01,3829,333,66,13,1
2019-09-14,151856,2019-09-14,530,254,61,10,1
2019-07-06,112899,2019-07-06,385,275,53,9,1
2019-07-17,112976,2019-07-17,372,169,39,8,1
2019-07-13,115216,2019-07-13,776,397,106,14,1
2019-08-31,1056306,2019-08-31,902,761,180,14,1
2019-07-17,139402,2019-07-27,179,179,48,7,1
2019-08-19,505698,2019-08-19,260,260,60,10,1
2019-08-13,256499,2019-08-13,13,1,0,0,0
2019-08-10,148821,2019-08-10,146,25,7,1,0
2019-07-02,123003,2019-07-02,33,26,8,1,0
2019-07-13,147594,2019-07-26,1174,43,9,1,0
2019-08-12,120217,2019-08-12,38,5,1,0,0
2019-08-18,480093,2019-09-07,12,12,2,0,0
2019-07-08,213591,2019-07-09,9,4,1,0,0
2019-07-04,203888,2019-08-12,5,5,1,0,0
2019-07-25,263725,2019-07-25,81,5,1,0,0
2019-07-16,107501,2019-07-18,17,5,1,0,0
2019-07-06,118053,2019-07-06,16,3,1,0,0
2019-08-18,171731,2019-08-18,8,2,1,0,0
2019-09-07,307290,2019-09-07,46,40,6,1,0
2019-07-14,647854,2019-09-29,1,1,0,0,0
2019-09-14,107045,2019-09-15,29,10,3,0,0
2019-09-03,196214,2019-09-03,18,0,0,0,0
2019-08-22,181007,2019-08-22,27,8,2,0,0
2019-08-23,119451,2019-09-01,3,1,0,0,0
2019-08-05,766637,2019-08-05,10,3,1,0,0
2019-08-24,213554,2019-08-24,41,4,1,0,0
2019-08-08,138610,2019-08-09,5,3,1,0,0
2019-07-14,242142,2019-07-18,37,19,4,0,0
2019-07-12,174301,2019-07-12,42,2,1,0,0
2019-09-06,110389,2019-09-07,5,2,0,0,0
2019-07-12,886432,2019-07-12,54,13,2,0,0
2019-09-01,170353,2019-09-02,4,2,0,0,0
2019-08-13,606017,2019-08-13,15,2,0,0,0
2019-07-01,434875,2019-09-06,2,2,0,0,0
2019-08-15,122715,2019-08-15,32,4,1,0,0
2019-07-23,149418,2019-07-24,26,14,2,0,0
2019-08-22,183814,2019-08-24,9,3,1,0,0
2019-08-02,371779,2019-08-05,8,5,1,0,0
2019-07-24,150394,2019-07-24,24,3,1,0,0
2019-08-01,109047,2019-08-01,19,3,1,0,0
2019-07-16,118583,2019-07-16,2019,162,40,6,0
2019-09-01,143074,2019-09-01,165,24,5,0,0
2019-08-21,107302,2019-08-22,21,2,0,0,0
2019-08-30,406482,2019-08-30,227,21,4,0,0
2019-07-12,129687,2019-07-13,2,2,0,0,0
2019-09-03,144665,2019-09-07,15,7,2,0,0
2019-08-19,201488,2019-08-23,5,2,1,0,0
2019-08-12,441569,2019-08-12,25,2,0,0,0
2019-07-11,128268,2019-07-13,3,2,1,0,0
2019-09-01,106138,2019-09-01,129,24,6,1,0
2019-08-09,112444,2019-08-10,14,4,1,0,0
2019-08-06,740015,2019-08-10,4,1,0,0,0
2019-07-06,196598,2019-07-06,20,3,1,0,0
2019-08-11,231524,2019-08-11,128,22,4,0,0
2019-07-04,853357,2019-07-05,8,3,1,0,0
2019-08-06,123428,2019-08-16,3,2,0,0,0
2019-09-14,122260,2019-09-14,37,9,1,0,0
2019-08-27,107955,2019-08-27,64,5,1,0,0
2019-09-05,120181,2019-09-05,62,7,2,0,0
2019-08-10,115741,2019-08-10,233,26,8,0,0
2019-07-13,191937,2019-07-13,54,13,2,0,0
2019-09-09,810262,2019-09-09,26,4,1,0,0
2019-07-17,107399,2019-07-27,7,5,1,0,0
2019-09-13,117309,2019-09-13,15,9,2,0,0
2019-09-13,248143,2019-09-16,11,11,2,0,0
2019-09-06,185177,2019-09-06,76,25,5,1,0
2019-07-23,195849,2019-07-28,3,2,1,0,0
2019-09-05,142183,2019-09-05,30,8,2,0,0
2019-07-31,260427,2019-08-01,18,5,1,0,0
2019-08-20,142183,2019-08-20,42,6,1,0,0
2019-08-24,525404,2019-09-28,11,5,1,0,0
2019-07-21,619119,2019-07-21,56,13,3,0,0
2019-07-26,141974,2019-07-28,2,2,1,0,0
2019-07-20,191275,2019-07-21,20,4,1,0,0
2019-09-09,531074,2019-09-09,69,6,1,0,0
2019-09-06,138216,2019-09-06,54,9,2,0,0
2019-07-06,269085,2019-07-06,78,8,2,0,0
2019-08-09,137754,2019-08-09,3,1,0,0,0
2019-07-05,267436,2019-07-06,28,16,3,0,0
2019-09-05,234957,2019-09-08,1,1,0,0,0
2019-09-04,123954,2019-09-14,4,3,1,0,0
2019-09-01,107601,2019-09-01,45,11,2,0,0
2019-08-29,760230,2019-08-30,8,4,1,0,0
2019-08-05,262789,2019-08-06,35,5,1,0,0
2019-09-11,114463,2019-09-13,2,1,0,0,0
2019-09-12,138151,2019-09-12,11,11,3,1,0
2019-08-23,486392,2019-08-24,7,2,1,0,0
2019-08-17,265656,2019-08-17,17,25,7,1,0
2019-07-31,143044,2019-08-02,15,2,1,0,0
2019-09-06,134556,2019-09-15,29,1,0,0,0
2019-08-15,214941,2019-08-15,17,2,1,0,0
2019-08-10,149465,2019-08-11,5,0,0,0,0
2019-07-11,364458,2019-07-11,52,14,2,0,0
2019-08-24,124559,2019-08-24,17,6,2,0,0
2019-09-01,204233,2019-09-10,2,2,1,0,0
2019-08-17,173077,2019-09-03,3,2,0,0,0
2019-07-29,152863,2019-07-29,43,12,3,0,0
2019-09-11,807453,2019-09-14,61,12,2,0,0
2019-07-22,128770,2019-07-22,71,2,0,0,0
2019-09-10,201626,2019-09-10,12,4,1,0,0
2019-08-30,139231,2019-09-01,183,32,5,1,0
2019-07-27,105905,2019-07-28,42,1,0,0,0
2019-08-02,378700,2019-08-02,34,6,2,0,0
2019-08-23,106387,2019-08-23,77,16,2,0,0
2019-08-22,246713,2019-08-22,14,5,1,0,0
2019-09-14,111065,2019-09-14,23,5,1,0,0
2019-08-28,114770,2019-08-28,109,32,9,1,0
2019-07-01,256550,2019-07-03,5,2,1,0,0
2019-08-07,133403,2019-08-08,5,2,0,0,0
2019-08-23,193238,2019-08-23,30,12,3,0,0
2019-07-08,118583,2019-07-16,41,7,2,0,0
2019-08-14,125799,2019-08-24,4,3,1,0,0
2019-08-09,135522,2019-08-09,96,19,4,1,0
2019-08-11,769088,2019-08-12,47,12,3,0,0
2019-08-29,201375,2019-09-02,1,1,0,0,0
2019-07-23,307743,2019-07-24,2,0,0,0,0
2019-09-06,145479,2019-09-06,60,8,2,0,0
2019-09-06,207353,2019-09-07,9,6,1,0,0
2019-09-01,352356,2019-09-01,41,8,2,0,0
2019-09-01,193964,2019-09-23,8,4,1,0,0
2019-07-16,106569,2019-07-20,15,2,1,0,0
2019-08-29,334776,2019-08-29,68,11,2,0,0
2019-07-01,106382,2019-07-01,58,11,2,0,0
2019-09-13,108720,2019-09-14,11,1,0,0,0
2019-08-23,163402,2019-08-23,95,13,4,1,0
2019-08-10,203292,2019-08-11,3,2,0,0,0
2019-08-03,205618,2019-08-13,3,2,0,0,0
2019-08-21,150701,2019-08-30,4,1,0,0,0
2019-07-27,123912,2019-07-27,74,4,1,0,0
2019-08-11,113139,2019-08-11,52,11,2,0,0
2019-09-09,134950,2019-09-19,1,0,0,0,0
2019-08-12,751734,2019-10-19,0,1,0,0,0
2019-09-06,136630,2019-09-07,9,4,1,0,0
2019-09-13,107219,2019-09-14,19,10,2,0,0
2019-08-13,264456,2019-08-14,5,1,0,0,0
2019-08-31,188316,2019-09-07,4,3,1,0,0
2019-08-01,111314,2019-08-02,18,7,2,0,0
2019-08-19,106070,2019-08-31,21,4,1,0,0
2019-09-06,163211,2019-09-15,16,9,2,0,0
2019-07-11,434724,2019-07-11,24,1,0,0,0
2019-08-18,426420,2019-08-21,3,3,1,0,0
2019-08-02,120822,2019-08-02,38,3,1,0,0
2019-07-21,263040,2019-07-21,67,7,2,0,0
2019-09-06,113185,2019-09-06,48,6,1,0,0
2019-07-15,218278,2019-08-03,3,2,0,0,0
2019-08-21,278726,2019-08-21,3,1,0,0,0
2019-08-09,327653,2019-08-09,51,10,3,0,0
2019-09-14,108193,2019-09-14,110,43,7,1,0
2019-08-03,112061,2019-08-03,115,18,3,0,0
2019-08-27,612492,2019-08-27,32,6,1,0,0
2019-07-13,422161,2019-07-13,55,1,0,0,0
2019-08-18,760441,2019-08-18,58,13,2,0,0
2019-07-02,152668,2019-07-02,94,13,3,0,0
2019-08-04,535614,2019-09-23,1,1,0,0,0
2019-07-15,141284,2019-08-03,4,3,1,0,0
2019-07-16,357149,2019-07-16,38,3,1,0,0
2019-07-01,146546,2019-07-03,4,2,0,0,0
2019-09-07,265767,2019-09-07,34,11,2,0,0
2019-07-11,769088,2019-07-22,3,2,0,0,0
2019-09-13,495598,2019-09-17,10,1,0,0,0
2019-08-12,215250,2019-08-12,15,3,1,0,0
2019-08-27,124717,2019-08-31,6,3,1,0,0
2019-07-13,147788,2019-07-14,42,11,2,0,0
2019-08-24,653808,2019-08-24,47,20,5,0,0
2019-07-13,139402,2019-07-26,236,229,50,10,0
2019-08-26,531506,2019-08-26,17,2,0,0,0
2019-09-12,474003,2019-09-13,15,7,2,0,0
2019-09-07,253564,2019-10-24,4,3,1,0,0
2019-09-07,111955,2019-09-08,7,4,1,0,0
2019-07-15,164913,2019-07-15,12,2,1,0,0
2019-07-20,123954,2019-07-22,4,3,1,0,0
2019-07-13,113233,2019-07-13,67,8,2,0,0
2019-08-29,118048,2019-08-31,4,3,1,0,0
2019-08-25,647737,2019-08-27,4,3,1,0,0
2019-07-19,124907,2019-07-19,41,10,2,0,0
2019-09-09,139402,2019-09-14,143,55,9,1,0
2019-07-25,110872,2019-07-25,92,6,2,0,0
2019-07-19,125838,2019-07-20,32,5,1,0,0
2019-07-09,169158,2019-07-09,14,2,0,0,0
2019-09-15,107939,2019-09-15,17,4,1,0,0
2019-07-24,532049,2019-09-26,2,2,1,0,0
2019-08-13,164171,2019-09-04,22,3,1,0,0
2019-09-01,941782,2019-09-20,8,3,1,0,0
2019-07-08,110939,2019-07-08,12,10,2,0,0
2019-08-28,270169,2019-08-28,16,2,0,0,0
2019-09-01,112914,2019-09-03,158,35,6,1,0
2019-09-06,313241,2019-09-06,43,12,2,0,0
2019-09-04,121203,2019-09-04,13,5,1,0,0
2019-08-24,130781,2019-08-24,91,52,15,2,0
2019-09-10,209068,2019-09-10,43,6,2,0,0
2019-07-05,152940,2019-07-05,27,6,2,0,0
2019-08-26,108520,2019-08-31,56,51,9,1,0
2019-07-06,129681,2019-07-06,107,12,3,0,0
2019-09-15,224287,2019-09-16,4,3,1,0,0
2019-09-14,217932,2019-09-14,78,14,4,1,0
2019-07-28,136897,2019-07-31,11,3,1,0,0
2019-08-26,132141,2019-08-31,5,2,0,0,0
2019-08-18,164092,2019-09-18,1,1,0,0,0
2019-07-01,118583,2019-07-02,411,56,14,1,0
2019-09-03,111213,2019-09-05,14,1,0,0,0
2019-08-20,558921,2019-08-20,120,8,2,0,0
2019-07-01,109361,2019-09-27,2,1,0,0,0
2019-07-02,215034,2019-07-06,3,2,0,0,0
2019-07-15,115624,2019-07-27,4,2,1,0,0
2019-08-19,119487,2019-08-30,37,25,6,1,0
2019-07-10,462803,2019-07-10,46,4,1,0,0
2019-07-14,161008,2019-07-14,35,4,1,0,0
2019-08-22,112068,2019-08-22,91,14,3,0,0
2019-09-12,310813,2019-09-12,14,2,0,0,0
2019-07-01,106386,2019-07-04,205,28,5,1,0
2019-07-21,254927,2019-07-21,28,5,1,0,0
2019-08-03,146954,2019-08-03,168,8,2,0,0
2019-08-03,362394,2019-08-05,118,1,0,0,0
2019-08-28,194747,2019-08-28,65,11,3,0,0
2019-07-10,274682,2019-07-27,4,4,1,0,0
2019-08-25,196126,2019-08-25,27,2,0,0,0
2019-09-02,131976,2019-09-02,48,13,4,0,0
2019-08-25,163211,2019-08-25,106,17,3,0,0
2019-09-13,117009,2019-09-13,103,17,5,1,0
2019-07-06,212853,2019-07-06,204,60,10,1,0
2019-08-02,120144,2019-08-07,7,3,1,0,0
2019-08-15,106373,2019-08-16,7,2,0,0,0
2019-08-14,393239,2019-08-31,2,1,0,0,0
2019-08-05,115741,2019-08-16,5,0,0,0,0
2019-07-13,111941,2019-07-13,129,13,3,0,0
2019-08-23,138064,2019-08-24,11,4,1,0,0
2019-08-14,108299,2019-08-14,33,6,1,0,0
2019-08-28,117777,2019-08-30,11,8,2,0,0
2019-08-24,135654,2019-08-31,3,1,0,0,0
2019-07-26,113163,2019-07-27,17,3,1,0,0
2019-08-17,121780,2019-08-30,1,2,0,0,0
2019-08-27,149180,2019-09-27,2,1,0,0,0
2019-08-17,324469,2019-08-17,26,7,1,0,0
2019-07-15,139402,2019-09-02,8,8,2,0,0
2019-08-12,267885,2019-08-12,31,5,1,0,0
2019-08-11,139226,2019-08-31,19,6,1,0,0
2019-07-25,8957,2019-08-15,7,2,1,0,0
2019-08-03,173704,2019-08-03,106,10,2,0,0
2019-07-31,107653,2019-07-31,19,5,1,0,0
2019-08-15,197680,2019-08-16,19,4,1,0,0
2019-08-10,623925,2019-08-10,38,10,2,0,0
2019-07-30,131768,2019-07-30,48,0,0,0,0
2019-07-11,261848,2019-07-12,1,0,0,0,0
2019-08-02,202793,2019-08-03,13,5,1,0,0
2019-07-16,470568,2019-11-03,5,4,1,0,0
2019-08-04,273605,2019-08-28,2,2,0,0,0
2019-08-24,125052,2019-08-24,15,5,1,0,0
2019-07-25,106412,2019-08-09,7,2,1,0,0
2019-09-04,122006,2019-09-06,64,5,1,0,0
2019-07-02,118742,2019-07-13,4,2,1,0,0
2019-07-03,108788,2019-07-03,47,4,1,0,0
2019-09-13,324574,2019-09-13,21,2,0,0,0
2019-07-17,204017,2019-07-27,2,1,0,0,0
2019-08-24,771031,2019-08-24,86,49,12,1,0
2019-07-05,669604,2019-07-05,73,13,3,0,0
2019-08-22,128996,2019-08-23,101,25,6,1,0
2019-08-22,133711,2019-08-23,4,3,1,0,0
2019-09-13,107300,2019-09-13,114,51,14,1,0
2019-08-01,147181,2019-08-01,22,2,1,0,0
2019-09-10,169080,2019-09-10,48,4,1,0,0
2019-08-14,264619,2019-09-02,61,8,2,0,0
2019-08-14,619117,2019-08-14,15,2,1,0,0
2019-09-01,275987,2019-09-01,72,11,3,0,0
2019-08-08,270623,2019-08-08,18,5,1,0,0
2019-08-08,664391,2019-08-10,32,13,4,0,0
2019-07-27,313988,2019-07-27,45,7,2,0,0
2019-09-04,213738,2019-09-04,22,4,1,0,0
2019-08-02,216352,2019-08-02,253,39,8,0,0
2019-07-12,121780,2019-07-29,3,1,0,0,0
2019-08-09,197271,2019-08-10,5,1,0,0,0
2019-08-17,251002,2019-08-17,41,2,1,0,0
2019-07-08,499061,2019-07-27,2,1,0,0,0
2019-07-20,179856,2019-07-20,187,112,28,2,0
2019-07-23,220804,2019-07-26,18,13,4,1,0
2019-09-11,142220,2019-09-12,23,15,3,0,0
2019-08-14,152268,2019-08-14,23,0,0,0,0
2019-08-28,134990,2019-08-30,5,2,0,0,0
2019-08-06,119708,2019-08-06,68,10,2,0,0
2019-07-26,118903,2019-08-02,83,24,6,1,0
2019-07-14,106786,2019-07-14,114,28,6,1,0
2019-08-02,492789,2019-08-02,19,4,1,0,0
2019-07-12,243448,2019-07-12,54,9,2,0,0
2019-07-22,112105,2019-07-22,69,4,1,0,0
2019-09-01,175042,2019-09-02,9,5,1,0,0
2019-09-11,236803,2019-09-18,1,1,0,0,0
2019-08-03,107905,2019-08-03,187,182,43,4,0
2019-07-02,118583,2019-07-06,108,40,7,1,0
2019-09-15,893126,2019-09-15,17,2,0,0,0
2019-09-01,347200,2019-09-01,24,2,0,0,0
2019-08-28,201771,2019-08-28,6,2,0,0,0
2019-08-18,138145,2019-08-21,5,3,1,0,0
2019-08-16,131139,2019-08-18,7,1,0,0,0
2019-08-03,194359,2019-08-03,132,19,3,1,0
2019-07-02,128269,2019-07-02,16,0,0,0,0
2019-08-09,264782,2019-08-16,6,2,0,0,0
2019-09-12,163288,2019-09-13,37,8,1,0,0
2019-08-12,108291,2019-08-12,76,8,2,0,0
2019-07-13,663607,2019-10-02,9,3,1,0,0
2019-08-31,108678,2019-08-31,39,7,2,0,0
2019-07-19,221814,2019-07-21,11,5,1,0,0
2019-08-05,492731,2019-08-05,27,7,2,0,0
2019-09-13,125676,2019-09-21,3,1,0,0,0
2019-07-03,552329,2019-07-11,1,0,0,0,0
2019-07-30,228771,2019-07-30,29,1,0,0,0
2019-09-01,217239,2019-09-01,43,7,1,0,0
2019-07-31,224835,2019-08-01,10,4,1,0,0
2019-09-08,163443,2019-10-16,15,3,1,0,0
2019-09-12,596301,2019-09-13,18,11,3,0,0
2019-08-10,168988,2019-08-10,59,17,3,0,0
2019-08-28,340303,2019-09-13,10,4,1,0,0
2019-07-10,718092,2019-07-11,13,3,1,0,0
2019-08-13,138285,2019-08-13,37,7,2,0,0
2019-07-04,311298,2019-07-28,87,9,3,1,0
2019-09-09,114093,2019-10-26,2,2,0,0,0
2019-07-15,168984,2019-07-17,2,1,0,0,0
2019-07-22,106070,2019-07-24,13,9,2,0,0
2019-07-12,183612,2019-07-12,37,1,0,0,0
2019-09-10,224141,2019-09-11,3,1,0,0,0
2019-08-03,106093,2019-08-04,11,3,1,0,0
2019-08-25,207849,2019-08-27,4,0,0,0,0
2019-08-25,111890,2019-08-31,24,11,3,0,0
2019-07-18,161411,2019-07-19,2,1,0,0,0
2019-08-23,130280,2019-08-24,16,8,2,0,0
2019-08-13,148596,2019-08-17,16,9,2,0,0
2019-08-23,312654,2019-08-24,15,4,1,0,0
2019-09-12,266256,2019-09-12,14,2,0,0,0
2019-09-03,105793,2019-09-28,150,8,2,0,0
2019-07-06,201821,2019-07-06,112,12,2,0,0
2019-07-06,203231,2019-07-06,159,22,6,0,0
2019-07-25,173958,2019-09-27,2,0,0,0,0
2019-08-28,261047,2019-09-01,34,8,2,0,0
2019-08-03,105687,2019-08-03,347,141,41,5,0
2019-09-15,151718,2019-10-17,2,2,1,0,0
2019-07-27,119552,2019-07-27,29,4,1,0,0
2019-07-21,122204,2019-07-24,2,2,0,0,0
2019-09-13,149419,2019-09-13,63,7,2,0,0
2019-08-10,108208,2019-08-10,26,2,0,0,0
2019-07-29,217734,2019-07-29,18,1,0,0,0
2019-08-03,198720,2019-08-04,37,6,2,0,0
2019-07-06,263708,2019-07-06,105,44,13,2,0
2019-08-23,278769,2019-08-23,83,5,1,0,0
2019-08-04,135981,2019-08-04,7,3,1,0,0
2019-07-21,209176,2019-07-21,48,6,2,0,0
2019-08-15,148554,2019-08-30,13,4,1,0,0
2019-09-05,411399,2019-09-07,1,1,0,0,0
2019-07-15,128331,2019-07-15,78,5,1,0,0
2019-08-02,112208,2019-08-02,272,12,3,1,0
2019-07-31,195832,2019-08-01,7,3,1,0,0
2019-08-10,108432,2019-08-16,5,5,1,0,0
2019-07-19,769088,2019-07-31,1,0,0,0,0
2019-08-27,258872,2019-09-01,935,279,53,4,0
2019-08-19,308459,2019-08-19,26,5,1,0,0
2019-09-04,153437,2019-09-04,20,3,1,0,0
2019-08-30,369535,2019-08-31,7,1,0,0,0
2019-09-08,115786,2019-09-13,21,6,2,0,0
2019-09-15,111635,2019-09-15,62,10,3,0,0
2019-07-13,264948,2019-07-13,45,9,2,0,0
2019-07-01,259462,2019-07-01,469,4,1,0,0
2019-08-08,148845,2019-08-08,55,12,3,0,0
2019-07-14,539792,2019-07-17,1,1,0,0,0
2019-07-03,126908,2019-07-03,247,38,8,1,0
2019-07-18,600100,2019-07-18,49,4,1,0,0
2019-07-26,112876,2019-08-03,8,2,1,0,0
2019-08-08,249175,2019-09-10,4,2,0,0,0
2019-09-07,125302,2019-09-08,1,1,0,0,0
2019-07-03,206282,2019-07-04,28,3,1,0,0
2019-08-15,106406,2019-08-17,41,21,6,1,0
2019-08-23,163446,2019-08-23,1288,220,38,5,0
2019-07-02,679720,2019-07-02,37,1,0,0,0
2019-08-23,539733,2019-08-23,123,32,6,1,0
2019-07-04,145316,2019-07-04,67,5,1,0,0
2019-09-02,125186,2019-09-02,1181,219,61,6,0
2019-09-11,109836,2019-09-12,2,1,0,0,0
2019-08-29,208238,2019-09-01,24,2,0,0,0
2019-09-01,106386,2019-09-01,208,63,11,1,0
2019-08-11,126820,2019-08-24,9,1,0,0,0
2019-08-25,149704,2019-09-01,12,2,1,0,0
2019-07-23,199922,2019-07-25,155,15,3,0,0
2019-07-05,314300,2019-07-05,49,6,1,0,0
2019-07-08,310190,2019-08-16,9,6,1,0,0
2019-07-19,133702,2019-07-20,42,4,1,0,0
2019-08-05,277416,2019-08-05,15,2,0,0,0
2019-07-11,113282,2019-07-12,4,1,0,0,0
2019-07-17,191030,2019-07-17,14,8,2,0,0
2019-07-20,480862,2019-07-20,49,7,2,0,0
2019-08-22,108023,2019-08-24,19,9,2,0,0
2019-07-11,836939,2019-09-14,3,2,0,0,0
2019-08-08,133394,2019-08-10,11,1,0,0,0
2019-07-26,443972,2019-07-27,11,4,1,0,0
2019-08-15,552163,2019-08-15,7,1,0,0,0
2019-08-18,106250,2019-10-04,8,8,1,0,0
2019-08-15,810157,2019-08-15,102,11,3,0,0
2019-07-26,246232,2019-07-26,74,12,2,0,0
2019-09-01,202751,2019-09-01,39,4,1,0,0
2019-07-16,112691,2019-07-26,19,7,1,0,0
2019-08-24,107303,2019-08-24,75,13,2,0,0
2019-08-26,110389,2019-08-26,61,13,3,0,0
2019-07-01,169070,2019-07-01,28,2,1,0,0
2019-07-07,499139,2019-07-07,32,4,1,0,0
2019-07-25,134670,2019-07-25,27,3,1,0,0
2019-09-11,269074,2019-12-27,1,1,0,0,0
2019-07-21,350338,2019-09-06,4,1,0,0,0
2019-09-07,462851,2019-09-07,24,6,1,0,0
2019-09-06,495499,2019-09-06,69,21,5,1,0
2019-08-28,1748952,2019-08-31,45,41,8,1,0
2019-08-19,113191,2019-08-19,37,2,0,0,0
2019-09-08,327653,2019-09-08,56,8,2,0,0
2019-07-31,201486,2019-07-31,25,10,2,0,0
2019-09-01,124599,2019-09-01,53,9,1,0,0
2019-07-10,725979,2019-07-10,311,11,2,0,0
